Organisation;Adresse;PLZ;Ort;Telefon;Telefax;E-Mail;Internetadresse
Max-Born-Institut für Nichtlineare Optik und Kurzzeitspektroskopie im Forschungsverbund Berlin e. V.;Max-Born-Straße 2a;12489;Berlin;+49 30 6392-1505;+49 30 6392 1509;mbi@mbi-berlin.de;https://www.mbi-berlin.de
Max-Delbrück-Centrum für Molekulare Medizin in der Helmholtz-Gemeinschaft;Robert-Rössle-Straße 10;13125;Berlin;+49 30 9406-0;+49 30 949-4161;;https://www.mdc-berlin.de
Max-Planck-Gesellschaft zur Förderung der Wissenschaften e. V.;Hofgartenstraße 8;80539;München;+49 89 2108-0;+49 89 2108-1111;presse@gv.mpg.de;https://www.mpg.de
Max-Planck-Institut für Kohlenforschung;Kaiser-Wilhelm-Platz 1;45470;Mülheim an der Ruhr;+49 208 306-1;+49 208 306-2980;contact@mpi-muelheim.mpg.de;https://www.kofo.mpg.de/
Max-Planck-Institut für Nachhaltige Materialien GmbH;Max-Planck-Straße 1;40237;Düsseldorf;+49 211 6792-0;;mpi@mpie.de;https://www.mpie.de
Max-Planck-Institut für Neurobiologie des Verhaltens - caesar;Ludwig-Erhard-Allee 2;53175;Bonn;+49 228 9656-0;+49 228 9656-111;office@mpinb.mpg.de;https://www.mpinb.mpg.de/de/
Max-Planck-Institut für Plasmaphysik;Boltzmannstraße 2;85748;Garching;+49 89 3299-01;;info@ipp.mpg.de;https://www.ipp.mpg.de/
Militärrabbinat;Johannisstraße 5-6;10117;Berlin;+49 30 585 9554 230;;mrbpersonal@bundeswehr.org;https://www.bundeswehr.de/de/betreuung-fuersorge/militaerseelsorge/juedische-militaerseelsorge
Monopolkommission;Kurt-Schumacher-Straße 8;53113;Bonn;+49 228 338882-30;+49 228 338882- 33;info@monopolkommission.bund.de;https://www.monopolkommission.de
Multinationales Kommando Operative Führung / Multinational Joint Headquarters Ulm;Stuttgarterstraße 199;89081;Ulm;+49 731 1690-3060;+49 731 1690-3065;mnjhqpao@bundeswehr.org;https://www.bundeswehr.de/de/organisation/streitkraeftebasis/organisation/multinationales-kommando-operative-fuehrung
Multinationales Korps Nordost;ul. Lukasinskiego 33;71-215;Stettin;+48 91 4445-900;+48 91 4445-909;contact@hqmncne.mil.pl;https://www.bundeswehr.de/de/organisation/heer/organisation/multinationales-korps-nordost
Museum Berlin-Karlshorst e.V.;Zwieseler Straße 4;10318;Berlin;+49 30501508-10;;kontakt@museum-karlshorst.de;https://www.museum-karlshorst.de/
Museum für Naturkunde - Leibniz-Institut für Evolutions- und Biodiversitätsforschung;Invalidenstraße 43;10115;Berlin;+49 30 889140-8591;+49 30 889140-8561;info@mfn.berlin;https://www.museumfuernaturkunde.berlin
Museumsstiftung Post und Telekommunikation;Schaumainkai 53;60596;Frankfurt am Main;+49 69 60 60 600;+49 69 60 60 666;stiftungsleitung@mspt.de;https://www.museumsstiftung.de/
Nationale Agentur beim Bundesinstitut für Berufsbildung;Robert-Schuman-Platz 3;53175;Bonn;+49 228 107-1608;+49 228 107-2964;na@bibb.de;https://www.na-bibb.de/
Nationale Anti-Doping Agentur;Heussallee 38;53113;Bonn;+49 228 81292-0;+49 228 81292-219;info@nada-bonn.de;https://www.nada.de/home
Nationaler Normenkontrollrat;Mohrenstraße 37;10117;Berlin;+49 3018 580-8245;+49 3018 580-1234;nkr@bmj.bund.de;https://www.normenkontrollrat.bund.de/Webs/NKR/DE/home/home_node.html
Offizierschule der Luftwaffe;Straße der Luftwaffe 352;82256;Fürstenfeldbruck;+49 81 41 5360 1110;+49 81 41 5360 2980;OSLwPresseundOeffentlichkeitsarbeit@bundeswehr.org;https://www.bundeswehr.de/de/organisation/luftwaffe/organisation-/luftwaffentruppenkommando/offizierschule-der-luftwaffe
Offizierschule des Heeres;Marienallee 14;01099;Dresden;+49 351 823 - 3031;+49 351 823 - 3653;osh@bundeswehr.org;https://www.bundeswehr.de/de/organisation/heer/organisation/ausbildungskommando/offizierschule-des-heeres
Operatives Führungskommando der Bundeswehr;Kurt-Schumacher-Damm 41;13405;Berlin;+49 30 4981 4555;;Ofkpresse@bundeswehr.org;https://www.bundeswehr.de/de/organisation/operatives-fuehrungskommando-der-bundeswehr
Ostpreußisches Landesmuseum;Heiligengeiststraße 38;21335;Lüneburg;+49 4131 75995-0;+49 4131 75995-11;info@ol-lg.de;https://www.ostpreussisches-landesmuseum.de
Otto-von-Bismarck-Stiftung;Am Bahnhof 2;21521;Friedrichsruh;+49 4104 9771-0;+49 4104 9771-14;info@bismarck-stiftung.de;https://www.bismarck-stiftung.de
Panzertruppenschule Munster;Am Park 331;29633;Munster;+49 5192 9826-4005;;pztrs@bundeswehr.org;https://www.bundeswehr.de/de/organisation/heer/organisation/ausbildungskommando/panzertruppenschule
Patentanwaltskammer;Tal 29;80331;München;+49 89 242278-0;+49 89 242278-24;dpak@patentanwalt.de;https://www.patentanwalt.de
Paul Ehrlich Institut Bundesinstitut für Impfstoffe und biomedizinische Arzneimittel;Paul-Ehrlich-Straße 51 - 59;63225;Langen;+49 6103 77-0;+49 6103 77-1234;pei@pei.de;https://www.pei.de/DE/home/home-node.html
Paul-Drude-Institut für Festkörperelektronik - Leibniz Institut im Forschungsverbund Berlin e.V.;Hausvogteiplatz 5-7;10117;Berlin;+49 30 20377-481;+49 30 20377-515;info@dpi-berlin.de;https://www.pdi-berlin.de/
PD - Berater der öffentlichen Hand GmbH;Friedrichstr. 149;10117;Berlin;+49 30 25 76 79-0;+49 30 25 76 79-199;info@pd-g.de;https://www.pd-g.de/home/
Pensionskasse Deutscher Eisenbahnen und Straßenbahnen VVaG;Volksgartenstraße 54a;50677;Köln;+49 221 931817-0;+49 221 324548;info@pensionskasse-eisenbahnen.de;https://www.pensionskasse-eisenbahnen.de/
Persönlicher Beauftragter des Bundeskanzlers für die G7 / G20-Gipfel;Willy-Brandt-Straße 1;10557;Berlin;+49 3018 400-2050;+49 3010 400-2050;Poststelle@bk.bund.de;https://www.bundesregierung.de/breg-de
Physikalisch-Technische Bundesanstalt;Bundesallee 100;38116;Braunschweig;+49 531 592-0;+49 531 592-9292;info@ptb.de;https://www.ptb.de
Pionierschule;Manchinger Straße 1;85053;Ingolstadt;+49 841-88660-2110;+49 841-88660-2119;PisPresse@Bundeswehr.org;https://www.bundeswehr.de/de/organisation/heer/organisation/ausbildungskommando/pionierschule
Planungsamt der Bundeswehr;Oberspreestraße 61 L;12439;Berlin;+49 30 6794-1913;+49 30 6794-29 1907;plgabwldi@bundeswehr.org;https://www.bundeswehr.de/de/organisation/weitere-bmvg-dienststellen/planungsamt-der-bundeswehr-
Pommersches Landesmuseum;Rakower Straße 9;17489;Greifswald;+49 3834 8312-0;+49 3834 831211;info@pommersches-landesmuseum.de;https://www.pommersches-landesmuseum.de/
Postbeamtenkrankenkasse;Nauheimer Str. 98;70372;Stuttgart;+49 711 346 529-96;+49 711 346 529-98;service@pbeakk.de;https://www.pbeakk.de
Potsdam-Institut für Klimafolgenforschung e. V.;Telegrafenberg A 31;14473;Potsdam;+49 331 288-2500;+49 331 288-2600;impressum@pik-potsdam.de;https://www.pik-potsdam.de/de
Presse- und Informationsamt der Bundesregierung;Dorotheenstraße 84;10117;Berlin;+49 30 1 82 72-0;+49 30 1 82 72-25 55;internetpost@bundesregierung.de;https://www.bundesregierung.de/breg-de/bundesregierung/bundeskanzleramt/bundespresseamt
Presse- und Informationszentrum des Sanitätsdienstes;Von-Kuhl-Straße 50;56070;Koblenz;+49 261 896 13103;+49 261 896 13199;pizsanitaetsdienst@bundeswehr.org;
pro familia Deutsche Gesellschaft für Familienplanung, Sexualpädagogik und Sexualberatung e. V.;Mainzer Landstraße 250 - 254;60326;Frankfurt am Main;+49 69 2695 779-0;+49 69 2695 779-30;info@profamilia.de;https://www.profamilia.de/
Projektträger Jülich;Wilhelm-Johnen-Straße ;52428;Jülich;+49 2461 61-2626;+49 2461 61-5837;ptj@fz-juelich.de;https://www.ptj.de/
Rechtsanwaltskammer beim Bundesgerichtshof;Herrenstraße 45 a;76133;Karlsruhe;+49 721 22656;+49 721 2031403;kontakt@rak-bgh.de;
Robert Koch-Institut;Nordufer 20;13353;Berlin;+49 3018 754-0;+49 3018 754-2328;webmaster@rki.de;https://www.rki.de
Römisch-Germanisches Zentralmuseum - Leibniz-Forschungsinstitut für Archäologie;Neutorstraße 2;55116;Mainz;+49 6131 8885-0;;info@rgzm.de;https://web.rgzm.de
Rosa-Luxemburg-Stiftung - Gesellschaftsanalyse und Politische Bildung e. V.;Straße der Pariser Kommune 8A;10243;Berlin;+49 30 44310-0;+49 30 44310-222;info@rosalux.org;https://www.rosalux.de
RWI - Leibniz-Institut für Wirtschaftsforschung;Hohenzollernstraße 1-3;45128;Essen;+49 201 8149-0;+49 201 8149-200;rwi@rwi-essen.de;https://www.rwi-essen.de/
Sachverständigenrat für Umweltfragen;Luisenstraße 46;10117;Berlin;+49 30 263696-0;+49 30 263696-109;info@umweltrat.de;https://www.umweltrat.de/DE/Home/home_node.html
Sachverständigenrat zur Begutachtung der gesamtwirtschaftlichen Entwicklung;c/o Statistisches Bundesamt Stresemann-Ring 11;65189;Wiesbaden;+49 611 75-2390;+49 611 75-2538;info@svr-wirtschaft.de;https://www.sachverstaendigenrat-wirtschaft.de/index.html
Sanitätsakademie der Bundeswehr;Neuherbergstraße 11;80937;München;+49 89 992692-4710;+49 89 992692-4039;sanakbw@bundeswehr.org;https://www.bundeswehr.de/de/organisation/sanitaetsdienst/kommando-und-organisation-sanitaetsdienst/sanitaetsakademie-der-bundeswehr
Sanitätslehrregiment;Mitterharthausen 55;94351;Feldkirchen;+49 9420 754-1002;+49 9420 754 1037;SanLehrRgt@Bundeswehr.org;
Sanitätsregiment 1;Zeitzer Straße 112;06667;Weißenfels;+49 3443 33 1009;+49 3443 33 1038;SanRgt1@bundeswehr.org;https://www.bundeswehr.de/de/organisation/sanitaetsdienst/kommando-und-organisation-sanitaetsdienst/kommando-sanitaetsdienstliche-einsatzunterstuetzung/sanitaetsregiment-1
Sanitätsregiment 2;Am Alsberg 2;56477;Rennerod;+49 2664 503 408;+49 2664 503 401;SanRgt2Posteingang@bundeswehr.org;https://www.bundeswehr.de/de/organisation/sanitaetsdienst/kommando-und-organisation-sanitaetsdienst/kommando-sanitaetsdienstliche-einsatzunterstuetzung/-sanitaetsregiment-2-westerwald-
Sanitätsregiment 3;Auf dem Lerchenfeld 1;89160;Dornstadt;+49 7348 980 7010;+49 7348 980 7039;SanRgt3@bundeswehr.org;https://www.bundeswehr.de/de/organisation/sanitaetsdienst/kommando-und-organisation-sanitaetsdienst/kommando-sanitaetsdienstliche-einsatzunterstuetzung/sanitaetsregiment-3
Schifffahrtsmedizinisches Institut der Marine;Kopperpahler Allee 120;24119;Kronshagen;+49 431 5409-0;+49 431 5409-1778;marine@bundeswehr.org;https://www.bundeswehr.de/de/organisation/marine/organisation/schifffahrtmedizinisches-institut
Schlesisches Museum zu Görlitz;Brüderstraße  8;02826;Görlitz;+49 3581 8791-0;+49 3581 8791-200;kontakt@schlesisches-museum.de;https://www.schlesisches-museum.de/
Schloss Dagstuhl - Leibniz-Zentrum für Informatik GmbH;Oktavie-Allee ;66687;Wadern;+49 6871 905-0;+49 6871 905-133;service@dagstuhl.de;https://www.dagstuhl.de
Schule ABC-Abwehr und Gesetzliche Schutzaufgaben;Eichelberg 1;76646;Bruchsal;+49 7251 938 2132;;abcabwkdoabtfuej1@bundeswehr.org;https://www.bundeswehr.de/de/organisation/streitkraeftebasis/organisation/abc-abwehrkommando-der-bundeswehr
Schule für Diensthundewesen der Bundeswehr - Gräfin-von-Maltzan-Kaserne -;Hochstraße ;56766;Ulmen;+49 2676 95203 5111;+49 2676 95203 5119;SDstHundeBwabtfuepers@Bundeswehr.org;https://www.bundeswehr.de/de/organisation/streitkraeftebasis/organisation/streitkraefteamt/schule-fuer-diensthundewesen-der-bundeswehr
Schule für Feldjäger und Stabsdienst der Bundeswehr;Kugelfangtrift 1;30179;Hannover;+49 511 6783 0;+49 511 6783 6015;SFJg-StDstBwZentralerPosteingang@bundeswehr.org;https://www.bundeswehr.de/de/organisation/streitkraeftebasis/organisation/kommando-feldjaeger-der-bundeswehr/schule-fuer-feldjaeger-und-stabsdienst-der-bundeswehr
Schule für strategische Aufklärung der Bundeswehr;Mürwiker Straße 203;24944;Flensburg;+49 461 3135-0;+49 4613135-3075;schstrataufklbwpressearbeit@bundeswehr.org;https://www.bundeswehr.de/de/schule-fuer-strategische-aufklaerung-der-bundeswehr-5338244
Schule Informationstechnik der Bundeswehr;Maxhofstraße 1;82343;Pöcking;+49 8157 273 6842;;ITSBwPressearbeit@bundeswehr.org;https://www.bundeswehr.de/de/organisation/cyber-und-informationsraum/kommando-und-organisation-cir/kommando-informationstechnik-der-bundeswehr/schule-informationstechnik-der-bundeswehr
Schutzgemeinschaft Deutscher Wald - Bundesverband e. V.;Dechenstraße 8;53115;Bonn;+49 228 945983-0;+49 228 945983-3;info@sdw.de;https://www.sdw.de
Sekreatariat des Bundesrates;Leipziger Straße 3 - 4;11055;Berlin;+49 30 189100-0;;;https://www.bundesrat.de/DE/bundesrat/sekretariat/sekretariat-node.html
Senatsverwaltung für Wissenschaft, Gesundheit und Pflege;Oranienstraße 106;10969;Berlin;+49 30 9028-0;+49 30 9028-3102;post@senwgp.berlin.de;https://www.berlin.de/sen/wgp/ueber-uns/
Senckenberg Gesellschaft für Naturforschung;Senckenberganlage 25;60325;Frankfurt;+49 69 7542-0;+49 69 7542 1437;info@senckenberg.de;https://www.senckenberg.de
Senckenberg Museum für Naturkunde Görlitz;Am Museum 1;02826;Görlitz;+49 3581 4760-5220;+49 4760-5101;post-gr@senckenberg.de;https://museumgoerlitz.senckenberg.de/de/
Senckenberg Naturhistorische Sammlungen Dresden;Senckenberganlage 25;60325;Frankfurt am Main;+49 69 7542-0;+49 69 7542-1437;info@senckenberg.de;https://www.senckenberg.de/de/institute/senckenberg-naturhistorische-sammlungen-dresden/
Sonderbeauftragte der Bundesregierung für die Umsetzung der internationalen Initiative für mehr Transparenz im rohstoffgewinnenden Sektor (Extractive Industries Transparency Initiative - EITI) in Deutschland (D-EITI);Scharnhorststraße 34 - 37;10115;Berlin;+49 30 18615-0;;poststelle@bmwe.bund.de;https://www.bmwk.de/Redaktion/DE/Dossier/Visitenkarten/visitenkarte-brantner.html
Sonderbeauftragter der Bundesregierung für die Neustrukturierung der Verwaltung und Dezentralisierung in der Ukraine;Stresemannstraße 94;10963;Berlin;+49 30 18 535-0;+49 30 18535-2501;poststelle@bmz.bund.de;https://www.bmz.de/de/aktuelles/aktuelle-meldungen/ukraine-milbradt-sonderbeauftragter-verwaltungsmodernisierung-112880
Sondergesandter der Bundesregierung für die Länder des westlichen Balkans;Werderscher Markt 1;10117;Berlin;+49 30 1817 - 2655;+49 30 1817 - 52655;sg-web@zentrale.auswaertiges-amt.de;https://www.auswaertiges-amt.de/de/aamt/koordinatoren/-/2514372
Sozialversicherung für Landwirtschaft, Forsten und Gartenbau;Weißensteinstraße 70 - 72;34131;Kassel;+49 561 785-0;;;https://www.svlfg.de/
Sportschule der Bundeswehr;Dr. - Rau Allee 32;48231;Warendorf;+49 2581 9411 4301;+49 2581 9411 1111;SportSBwRedaktion@bundeswehr.org;https://www.bundeswehr.de/de/organisation/streitkraeftebasis/organisation/streitkraefteamt/sportschule-der-bundeswehr
Staatsministerin für Sport und Ehrenamt im Bundeskanzleramt;Willy-Brandt-Straße 1;10557;Berlin;+49 30 18 400-0;;poststelle@bk.bund.de;https://www.bundesregierung.de/breg-de/bundesregierung/bundeskanzleramt/startseite-staatsministerin-fuer-sport-und-ehrenamt  
Statistisches Bundesamt;Gustav-Stresemann-Ring 11;65189;Wiesbaden;+49 611 75-0;+49 611 75-4000;post@destatis.de;https://www.destatis.de/DE/Home/_inhalt.html
Stiftung Bayerische Gedenkstätten (KZ-Gedenkstätten Dachau und Flossenbürg);Praterinsel 2;80538;München;+49 89 21586-7580;;info@stbg.bayern.de;https://www.stiftung-bayerische-gedenkstaetten.de
Stiftung Brandenburgische Gedenkstätten;Heinrich-Grüber-Platz 3;16515;Oranienburg;+49 3301 8109-12;+49 3301 8109-28;vorzimmer@stiftung-bg.de;https://www.stiftung-bg.de/
Stiftung Bundeskanzler-Adenauer-Haus;Konrad-Adenauer-Straße 8 c;53604;Bad Honnef;+49 2224 921-0;+49 2224 921-111;info@adenauerhaus.de;https://www.adenauerhaus.de/
Stiftung Bundespräsident-Theodor-Heuss-Haus;Breitscheidstraße 48;70176;Stuttgart;+49 711 955985-0;+49 711 955985-30;info@stiftung-heuss-haus.de;https://www.theodor-heuss-haus.de/
Stiftung Denkmal für die ermordeten Juden Europas;Georgenstraße 23;10117;Berlin;+49 30 263943-0;+49 30 263943-20;info@stiftung-denkmal.de;https://www.stiftung-denkmal.de/
Stiftung Deutsches Historisches Museum;Unter den Linden 2;10117;Berlin;+49 30 20304-0;+49 30 20304-543;info@dhm.de;https://www.dhm.de/
Stiftung Deutsches Zentrum Kulturgutverluste;Humboldtstraße 12;39112;Magdeburg;+49 391 727763-0;+49 391 727763-6;kontakt@kulturgutverluste.de;https://www.kulturgutverluste.de/Webs/DE/Start/Index.html
Stiftung Erinnerung, Verantwortung und Zukunft;Friedrichstraße 200;10117;Berlin;+49 30 259297-0;+49 30 259297-11;info@stiftung-evz.de;https://www.stiftung-evz.de
Stiftung Flucht, Vertreibung, Versöhnung;Stresemannstraße 90;10557;Berlin;+49 30 206 2998-0;;info@f-v-v.de;https://www.flucht-vertreibung-versoehnung.de/
Stiftung für ehemalige politisch Verfolgte;Menuhinstraße 6;53113;Bonn;+49 228 368937-0;+49 228 36893-99;info@stiftung-hhg.de;https://www.stiftung-hhg.de
Stiftung Gedenkstätten Buchenwald und Mittelbau-Dora;N.N. ;99427;Weimar;+49 3643 430157;+49 3643 430100;presse@buchenwald.de;https://www.buchenwald.de/nc/896/
Stiftung Geld und Währung;Barkhovenallee 1;45239;Essen;+49 201 8401-151;+49 201 8401-255;kontakt@stiftung-geld-und-waehrung.de;https://www.stiftung-geld-und-waehrung.de/stiftung-de
Stiftung Hambacher Schloss;Hambacher Schloss 1832;67434;Neustadt an der Weinstraße;+49 6321 92629-0;;info@hambacher-schloss.de;https://hambacher-schloss.de/
Stiftung Haus der Geschichte der Bundesrepublik Deutschland;Willy-Brandt-Allee 14;53113;Bonn;+49 228 9165-0;+49 228 9165-302;post@hdg.de;https://www.hdg.de/
Stiftung Jüdisches Museum Berlin;Lindenstraße 9 - 14;10969;Berlin;+49 30 25993-300;+49 25993-409;info@jmberlin.de;https://www.jmberlin.de/
Stiftung Kunstforum Ostdeutsche Galerie;Dr.-Johann-Maier-Straße 5;93049;Regensburg;+49 941 29714-0;+49 94129714-33;info@kog-regensburg.de;https://www.kunstforum.net/
Stiftung Martin-Opitz-Bibliothek;Berliner Platz 5;44623;Herne;+49 2323 16-2805;+49 2323 16-2609;information.mob@herne.de;https://www.martin-opitz-bibliothek.de/de
Stiftung niedersächsische Gedenkstätten;Im Güldenen Winkel 8;29223;Celle;+49 5141 933550;+49 5141 93355-33;info@stiftung-ng.de;https://www.stiftung-ng.de/
Stiftung Preußischer Kulturbesitz;Von-der-Heydt-Straße 16 - 18;10785;Berlin;+49 30 26641-2889;+49 30 26641-2821;info@hv.spk-berlin.de;https://www.preussischer-kulturbesitz.de/
Stiftung Reichspräsident-Friedrich-Ebert-Gedenkstätte;Untere Straße 27;69117;Heidelberg;+49 6221 9107-0;+49 6221 9107-10;friedrich@ebert-gedenkstaette.de;https://ebert-gedenkstaette.de/
Stiftung Sächsische Gedenkstätten zur Erinnerung an die Opfer politischer Gewaltherrschaft;Dülferstrasse 1;01069;Dresden;+49 351 46955 40;+49 351 46955-41;info@stsg.de;https://www.stsg.de/cms/index.php
Stiftung Topograhie des Terrors;Niederkirchnerstraße 8;10963;Berlin;+49 302545090;+49 2323 16-2609;info@topographie.de;https://www.topographie.de/
Stiftung Wissenschaft und Politik;Ludwigkirchplatz 3 - 4;10719;Berlin;+49 30 88007-0;+49 30 88007-100;swp@swp-berlin.org;https://www.swp-berlin.org/
Stiftung Zentrale Stelle Verpackungsregister;Öwer de Hase 18;49074;Osnabrück;+49 541 201971 -10;+49 541 201971 - 9810;info@verpackungsregister.org;https://www.verpackungsregister.org/
Streitkräfteamt;Pascalstraße 10s;53123;Bonn;+49 228 5504-6101;+49 228 5504-6109;SKAGrpPers@bundeswehr.org;https://www.bundeswehr.de/de/organisation/streitkraeftebasis/organisation/streitkraefteamt
StudierendenWerk Augsburg A.d.ö.R.;Bürgermeister-Ulrich-Straße 152;86179;Augsburg;+49 821 99965 200;+49 821 99965 901;info@stw-a.de;https://studierendenwerk-augsburg.de/kontakt/
studierendenWERK BERLIN A. d. ö. R.;Hardenbergstraße 34;10623;Berlin;+49 30 939 39-70;;info@stw.berlin;https://www.stw.berlin/
Suchdienst des Deutschen Roten Kreuzes;Carstennstraße 58;12205;Berlin;+49 30 85404-170;+49 30 85404?458;suchdienst@drk.de;https://www.drk-suchdienst.de
Techniker Krankenkasse;Bramfelder Straße 140;22305;Hamburg;+49 800 285 85 85;;impressum@tk.de;https://www.tk.de/techniker?tkcm=ab
Technische Informationsbibliothek;Welfengarten 1b;30167;Hannover;+49 511 762-2268;;information@tib.eu;https://www.tib.eu/de/
Technische Schule des Heeres;Trierer Straße 445;52060;Aachen;+49 241-561-52003;+49 241-561-52109;tsh@Bundeswehr.org;https://www.bundeswehr.de/de/organisation/heer/organisation/ausbildungskommando/technische-schule-des-heeres
Technisches Ausbildungszentrum der Luftwaffe;Horststraße ;29328;Faßberg;+49 5055 17 20115;;TAusbZLwPresse@bundeswehr.org;https://www.bundeswehr.de/de/organisation/luftwaffe/organisation-/luftwaffentruppenkommando/technisches-ausbildungszentrum-der-luftwaffe
THW- Bundesvereinigung e. V.;Friedrichstraße 130 b;10117;Berlin;+49 30 28876980;+49 30 2887698-19;bundesvereinigung@thw.de;https://thw-bv.de/
THW-Jugend e. V.;Provinzialstraße 93;53127;Bonn;+49 228 940-1327, -1610;+49 228 940-1330;bundesgeschaeftsstelle@thw-jugend.de;https://thw-jugend.de/
Tolstoi Hilfs- und Kulturwerk e. V.;Aldringenstraße 4;80639;München;+49 089 299775;+49 89 2289312;tolstoi@tolstoi.de;https://www.tolstoi.de
Truppendienstgericht Nord;Hohenzollernring 40;48145;Münster;+49 251 936-2451;+49 251 936-2455;;
Truppendienstgericht Süd;Dachauer Straße 128/18;80637;München;+49 89 1249-2663;+49 89 1249-2662;;
TÜV-Rheinland;Am Grauen Stein ;51105;Köln;+49 221 806-9000;;genau.richtig@de.tuv.com;https://www.tuv.com/germany/de/
Umweltbundesamt;Wörlitzer Platz 1;06844;Dessau-Roßlau;+49 340 2103-2416;;buergerservice@uba.de;https://www.umweltbundesamt.de/
Unabhängige Beauftragte gegen sexuellen Missbrauch von Kindern und Jugendlichen;Glinkastraße 24;10117;Berlin;+49 30 18 555 - 1550;;kontakt@ubskm.bund.de;https://beauftragte-missbrauch.de/
Unabhängige Bundesbeauftragte für Antidiskriminierung;Glinkastraße 24;10117;Berlin;+49 30 18 555-1800;;poststelle@ads.bund.de;https://www.antidiskriminierungsstelle.de/DE/ueber-uns/unabhaengige_bundesbeauftragte/unabhaengige_bundesbeauftragte_node.html
Unabhängiger Kontrollrat;Alt-Moabit 101d;10559;Berlin;+49 30 18 4711-4260;;organisation@ukrat.bund.de;https://ukrat.de/DE/Service/Impressum/impressum_node.html
Unfallversicherung Bund und Bahn;Salvador-Allende-Straße 9;60487;Frankfurt am Main;+49 69 47863-0;;info@uv-bund-bahn.de;https://www.uv-bund-bahn.de/
Universität der Bundeswehr München;Werner-Heisenberg-Weg 39;85577;Neubiberg;+49 89 6004-0;;info@unibw.de;https://www.unibw.de/home
Unteroffizierschule der Luftwaffe;Hauptstraße 141;25482;Appen;+49 4122 986-2140;+49 4122 986-2109;;https://www.bundeswehr.de/de/organisation/luftwaffe/organisation-/luftwaffentruppenkommando/unteroffizierschule-der-luftwaffe
Unteroffizierschule des Heeres;Feldwebel-Boldt-Straße 1;04509;Delitzsch;+49 34202 77-2002;;USHStabS4@Bundeswehr.org;https://www.bundeswehr.de/de/organisation/heer/organisation/ausbildungskommando/unteroffizierschule-des-heeres
Unterstützungskommando der Bundeswehr;Fontainengraben 150;53123;Bonn;+49 228 5504-1112/-1113;;UstgKdoBwPIZ@bundeswehr.org;https://www.bundeswehr.de/de/organisation/unterstuetzungsbereich
VEBEG - Das Verwertungsunternehmen des Bundes;Rödelheimer Bahnweg 23;60489;Frankfurt am Main;+49 69 75897-0;+49 69 75897-479;mail@vebeg.de;https://www.vebeg.de/web/de/start/index.htm
Verbraucherzentrale Bundesverband e. V.;Rudi-Dutschke-Straße 17;10969;Berlin;+49 30 25800-0;+49 30 25800-518;info@vzbv.de;https://www.vzbv.de/
Vereinte Nationen Ausbildungszentrum Bundeswehr;Rommelstraße 31;97762;Hammelburg;+49 973278-5005;;VNAusbZBw@Bundeswehr.org;https://www.bundeswehr.de/de/organisation/heer/organisation/ausbildungskommando/vereinte-nationen-ausbildungszentrum-bundeswehr
Verpflegungsamt der Bundeswehr;Bremer Straße 71;26135;Oldenburg;+49 441 929-3333;+49 441 929-3101;VpflABw@Bundeswehr.org;https://www.bundeswehr.de/de/organisation/infrastruktur-umweltschutz-und-dienstleistungen/organisation-iud/verpflegungsamt-der-bundeswehr
Versorgungsanstalt der Deutschen Bühnen;Arabellastraße 31;81925;München;+49 89 9235-6;+49 89 9235-8850;vddb@versorgungskammer.de;https://www.buehnenversorgung.de/
Versorgungsanstalt der deutschen Kulturorchester;Arabellastraße 31;81925;München;+49 89 9235-6;+49 89 9235-8850;vddko@versorgungskammer.de;https://www.orchesterversorgung.de/
Versorgungsanstalt des Bundes und der Länder;Hans-Thoma-Straße 19;76133;Karlsruhe;+49 721 155-0;+49 721 155-666;info@vbl.de;https://www.vbl.de/de/startseite
Vertreterin des Bundesinteresses beim Bundesverwaltungsgericht;Alt-Moabit 140;10557;Berlin;+49 30 18681-4336;+49 30 18681-4225;VBIAG@bmi.bund.de;https://www.vertreterin-des-bundesinteresses.de/Webs/VBI/DE/startseite/startseite-node.html
Verwaltung des Deutschen Bundestages;Platz der Republik 1;11011;Berlin;+49 30 227-0;+49 30 227-36878, +49 30 227-36979;mail@bundestag.de;https://www.bundestag.de/parlament/verwaltung
Verwaltungs-Berufsgenossenschaft;Massaquoipassage 1;22305;Hamburg;;;;https://www.vbg.de/DE/0_Home/home_node.html
Wasserstraßen- und Neubauamt Heidelberg;Vangerowstraße 12;69115;Heidelberg;+49 6221 507-0;+49 6221 507-155;wsa-neckar@wsv.bund.de;https://www.wsa-neckar.wsv.de
Wasserstraßen- und Schifffahrtsamt Donau MDK (Dienstort Nürnberg);Marientorgraben 1;90402;Nürnberg;+49 911 2000-0;+49 911 2000-101;wsa-donau.mdk@wsv.bund.de;https://www.wsa-donau-mdk.wsv.de/Webs/WSA/Donau-MDK/DE/Startseite/startseite_node.html
Wasserstraßen- und Schifffahrtsamt Donau MDK (Dienstort Regensburg);Erlanger Straße 1;93059;Regensburg;+49 941 8109-0;+49 941 8109-101;wsa-donau-mdk@wsv.bund.de;https://www.wsa-donau-mdk.wsv.de
Wasserstraßen- und Schifffahrtsamt Elbe (Dienstort Dresden);Moritzburger Straße 1;01127;Dresden;+49 351 8432-50;+49 351 8432-381;wsa-elbe@wsv.bund.de;https://www.wsa-elbe.wsv.de
